system_id,method,outer_iteration,func_count,optimize_time,current_max,magsigma2,ls_H-H,ls_H-C,ls_H-O,ls_C-C,ls_C-O,dist_from_known,threshold,stopped_early
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0412557,0.182368,False
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0426585,0.182368,False
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0513367,0.182368,False
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0525233,0.182368,False
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0608693,0.182368,False
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0619154,0.182368,False
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0646646,0.182368,False
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0731158,0.182368,False
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0740432,0.182368,False
d_136,OTGPD,4,16,29.1436,3.25821,0.419381,0.182597,0.460191,0.342892,0.588988,0.476575,0.0757236,0.182368,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0221094,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0238098,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0325543,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0334966,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0409649,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0424288,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.051488,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0522136,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0596179,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0611015,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0675258,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0768475,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0769997,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0792215,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0842582,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0924289,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0936689,0.186741,False
d_136,OTGPD,5,42,102.672,6.3247,0.993052,0.233747,0.57069,0.398569,0.749671,0.543615,0.0964318,0.186741,False
d_136,OTGPD,6,26,78.6683,3.8544,1.99359,0.269648,0.682812,0.477466,0.902022,0.619904,0.0230755,0.191054,False
d_136,OTGPD,6,26,78.6683,3.8544,1.99359,0.269648,0.682812,0.477466,0.902022,0.619904,0.0324199,0.191054,False
d_136,OTGPD,6,26,78.6683,3.8544,1.99359,0.269648,0.682812,0.477466,0.902022,0.619904,0.0335947,0.191054,False
d_136,OTGPD,6,26,78.6683,3.8544,1.99359,0.269648,0.682812,0.477466,0.902022,0.619904,0.0477164,0.191054,False
d_136,OTGPD,7,4,11.5957,1.31146,1.98382,0.270059,0.683786,0.47762,0.904175,0.619337,0.0195484,0.195307,False
d_136,OTGPD,7,4,11.5957,1.31146,1.98382,0.270059,0.683786,0.47762,0.904175,0.619337,0.0320825,0.195307,False
d_136,OTGPD,7,4,11.5957,1.31146,1.98382,0.270059,0.683786,0.47762,0.904175,0.619337,0.0428046,0.195307,False
d_136,OTGPD,8,14,49.9464,0.957488,1.96556,0.278427,0.682364,0.495171,0.97277,0.539934,0.00878915,0.199502,False
d_136,OTGPD,8,14,49.9464,0.957488,1.96556,0.278427,0.682364,0.495171,0.97277,0.539934,0.0129823,0.199502,False
d_136,OTGPD,8,14,49.9464,0.957488,1.96556,0.278427,0.682364,0.495171,0.97277,0.539934,0.017642,0.199502,False
d_136,OTGPD,8,14,49.9464,0.957488,1.96556,0.278427,0.682364,0.495171,0.97277,0.539934,0.0216179,0.199502,False
d_136,OTGPD,8,14,49.9464,0.957488,1.96556,0.278427,0.682364,0.495171,0.97277,0.539934,0.0228814,0.199502,False
d_136,OTGPD,8,14,49.9464,0.957488,1.96556,0.278427,0.682364,0.495171,0.97277,0.539934,0.0238868,0.199502,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.0117397,0.203639,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.016706,0.203639,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.0236005,0.203639,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.0237551,0.203639,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.0229889,0.203639,False
