pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,termination_status,rmsd_init_saddle
369,155,1338.252,-6245.885533,0.00466437,true,Dimer,cg,lbfgs,-6244.185894496161,-1.6996385038382869,180,singlets,GOOD,0.8161758719872946
548,241,2154.4,-9329.290253,0.0069246,true,Dimer,cg,lbfgs,-9326.166564344732,-3.1236886552669603,181,singlets,GOOD,0.7871918060429522
1116,541,4616.995,-9446.544747,0.0088029,true,Dimer,cg,lbfgs,-9445.260651320692,-1.2840956793079386,182,singlets,GOOD,15.547838633252354
777,372,3250.075,-10383.815951,0.00962924,true,Dimer,cg,lbfgs,-10379.614573054332,-4.201377945668355,183,singlets,GOOD,1.7054447983056278
263,119,1018.654,-7299.591255,0.00910329,true,Dimer,cg,lbfgs,-7296.808096133245,-2.7831588667550022,184,singlets,GOOD,0.43513318020762226
188,78,694.004,-5276.792753,0.00940779,true,Dimer,cg,lbfgs,-5275.504593754657,-1.2881592453422854,185,singlets,GOOD,0.2815055760614292
220,96,840.788,-7333.504498,0.00688209,true,Dimer,cg,lbfgs,-7332.846319947209,-0.6581780527912997,186,singlets,GOOD,0.21559564928490482
195,88,791.585,-11352.836528,0.00959996,true,Dimer,cg,lbfgs,-11351.657037963807,-1.179490036192874,187,singlets,GOOD,0.21004080981640966
247,100,1330.201,-10294.327556,0.0094232,true,Dimer,cg,lbfgs,-10292.60118420467,-1.7263717953301239,188,singlets,GOOD,0.3358165646515761
127,52,453.371,-5188.421919,0.00947128,true,Dimer,cg,lbfgs,-5187.560265561167,-0.8616534388329455,189,singlets,GOOD,0.30994924282516495
383,181,1444.904,-8273.101307,0.00830678,true,Dimer,cg,lbfgs,-8271.960113100771,-1.14119389922962,190,singlets,GOOD,1.3660466920519283
550,260,2329.151,-9443.741255,0.00958643,true,Dimer,cg,lbfgs,-9441.211284743242,-2.529970256759043,191,singlets,GOOD,1.282283755312926
158,68,603.625,-6330.846488,0.00774457,true,Dimer,cg,lbfgs,-6328.619424022876,-2.2270639771240894,192,singlets,GOOD,0.24732614651395637
413,190,1740.494,-9446.009668,0.00957113,true,Dimer,cg,lbfgs,-9444.214651769673,-1.7950162303277466,193,singlets,GOOD,1.0851215595320418
111,39,391.337,-5156.693785,0.00501411,true,Dimer,cg,lbfgs,-5152.577784155855,-4.116000844145674,194,singlets,GOOD,1.0987654597844188
294,135,1092.933,-5274.614879,0.00980283,true,Dimer,cg,lbfgs,-5272.954708523852,-1.6601704761478686,195,singlets,GOOD,1.1048812165359685
1099,489,4980.577,-9327.01618,0.00833734,true,Dimer,cg,lbfgs,-9323.495713611203,-3.520466388798013,196,singlets,GOOD,29.017545422800527
460,219,1803.625,-9328.742895,0.00884889,true,Dimer,cg,lbfgs,-9326.163243123448,-2.5796518765509973,197,singlets,GOOD,23.573964419309323
361,175,1425.843,-8391.174887,0.00891469,true,Dimer,cg,lbfgs,-8390.464744576515,-0.7101424234842852,198,singlets,GOOD,1.272298645436713
260,122,959.406,-7215.524462,0.00426383,true,Dimer,cg,lbfgs,-7210.121319505761,-5.403142494239546,199,singlets,GOOD,1.5807802324664895
319,146,1285.78,-8387.467718,0.00754359,true,Dimer,cg,lbfgs,-8385.277553008591,-2.190164991408892,200,singlets,GOOD,2.7314108324709956
919,432,3471.282,-7333.809137,0.00825681,true,Dimer,cg,lbfgs,-7332.075231238448,-1.7339057615517959,201,singlets,GOOD,1.241546188349415
560,241,2098.882,-5275.792965,0.00611509,true,Dimer,cg,lbfgs,-5271.63676604434,-4.15619895565942,202,singlets,GOOD,2.2677221644473122
251,112,971.799,-8271.893488,0.00882598,true,Dimer,cg,lbfgs,-8270.294099136005,-1.5993888639950455,203,singlets,GOOD,0.42689562448033314
223,104,894.143,-8357.862003,0.00572882,true,Dimer,cg,lbfgs,-8356.059928687553,-1.8020743124470755,204,singlets,GOOD,0.4163799683843389
141,51,531.898,-7270.947774,0.00656349,true,Dimer,cg,lbfgs,-7268.436866020786,-2.5109079792146076,205,singlets,GOOD,0.47458484420827696
179,78,696.652,-6276.309144,0.00839876,true,Dimer,cg,lbfgs,-6275.149092012672,-1.1600519873281883,206,singlets,GOOD,0.27014665208414634
794,373,2957.327,-7333.958109,0.00938981,true,Dimer,cg,lbfgs,-7330.63403041375,-3.324078586249925,207,singlets,GOOD,40.54717334990149
482,230,1786.63,-8273.379844,0.00802524,true,Dimer,cg,lbfgs,-8272.234729099688,-1.1451149003114551,208,singlets,GOOD,29.466592801560015
277,124,1148.15,-9327.266191,0.00867981,true,Dimer,cg,lbfgs,-9326.177072954933,-1.0891180450671527,209,singlets,GOOD,18.129893858645797
218,95,820.59,-9239.137277,0.00785512,true,Dimer,cg,lbfgs,-9238.277116216403,-0.8601607835971663,210,singlets,GOOD,0.5192318448149543
649,307,2745.795,-9443.828984,0.0087654,true,Dimer,cg,lbfgs,-9441.19687248785,-2.6321115121500043,211,singlets,GOOD,1.5623154801817223
218,93,1104.187,-6245.608964,0.00900414,true,Dimer,cg,lbfgs,-6244.186013253726,-1.4229507462741822,212,singlets,GOOD,0.4703407011489433
871,299,3471.1,-8359.053572,0.00924392,true,Dimer,cg,lbfgs,-8355.830756085425,-3.222815914576131,213,singlets,GOOD,36.250042235367964
476,209,1900.912,-9327.613438,0.00621988,true,Dimer,cg,lbfgs,-9325.41178594323,-2.201652056770399,214,singlets,GOOD,0.6180410929903131
177,78,704.871,-6331.012398,0.00920179,true,Dimer,cg,lbfgs,-6329.228690408489,-1.7837075915113019,215,singlets,GOOD,0.27861261710167784
94,40,347.79,-6246.025752,0.00898881,true,Dimer,cg,lbfgs,-6245.386636945606,-0.6391150543931872,216,singlets,GOOD,0.270459730623515
346,159,1707.365,-5275.140267,0.00572122,true,Dimer,cg,lbfgs,-5272.270453796567,-2.869813203432386,217,singlets,GOOD,0.53116583585115
124,54,502.385,-11351.641289,0.00732595,true,Dimer,cg,lbfgs,-11349.702771794604,-1.9385172053953283,218,singlets,GOOD,0.256159159393333
842,351,3366.613,-9328.280982,0.00727793,true,Dimer,cg,lbfgs,-9324.933007957921,-3.3479740420789312,219,singlets,GOOD,9.615087321703895
123,50,475.168,-7302.761467,0.0094883,true,Dimer,cg,lbfgs,-7297.328729668137,-5.4327373318628815,220,singlets,GOOD,0.30190868547026406
531,251,2254.917,-9443.778229,0.00962388,true,Dimer,cg,lbfgs,-9441.311473002508,-2.4667559974914184,221,singlets,GOOD,1.1568008457931982
154,61,540.764,-4219.923493,0.00653597,true,Dimer,cg,lbfgs,-4218.002706490439,-1.920786509561367,222,singlets,GOOD,0.31217403939678573
279,123,1085.455,-9330.502132,0.00995689,true,Dimer,cg,lbfgs,-9329.17236820586,-1.3297637941395806,223,singlets,GOOD,0.329809380455129
554,256,2107.806,-7301.813836,0.00893885,true,Dimer,cg,lbfgs,-7302.388491071758,0.5746550717576611,224,singlets,GOOD,0.9266240411770653
2467,821,9327.993,-7269.694483,0.00873961,true,Dimer,cg,lbfgs,-7260.888395744713,-8.806087255286911,225,singlets,GOOD,33.49429595036375
313,147,1303.666,-7387.849204,0.00941732,true,Dimer,cg,lbfgs,-7385.696056855869,-2.1531471441312533,226,singlets,GOOD,0.39807010964201245
345,127,1245.433,-4187.2614,0.0034051,true,Dimer,cg,lbfgs,-4185.109797531812,-2.1516024681886847,227,singlets,GOOD,0.3322189675580408
450,196,1638.385,-5243.585052,0.00768014,true,Dimer,cg,lbfgs,-5238.956403138428,-4.628648861572401,228,singlets,GOOD,0.7599568531957421
179,71,645.936,-7217.5371,0.00951858,true,Dimer,cg,lbfgs,-7215.748840971194,-1.7882590288054416,229,singlets,GOOD,0.5658383309333221
185,82,715.914,-7299.856622,0.00826488,true,Dimer,cg,lbfgs,-7297.427791292484,-2.4288307075166813,230,singlets,GOOD,0.33024639183651444
994,480,4261.938,-8442.836506,0.0092708,true,Dimer,cg,lbfgs,-8439.570995681248,-3.2655103187516943,231,singlets,GOOD,25.86024610697673
447,213,1824.552,-10386.911755,0.00752484,true,Dimer,cg,lbfgs,-10385.852954829623,-1.0588001703763439,232,singlets,GOOD,4.8231125909533406
142,64,518.84,-6245.075335,0.00771998,true,Dimer,cg,lbfgs,-6243.414421022132,-1.660913977868404,233,singlets,GOOD,0.5787756975372222
498,229,2008.935,-7386.20265,0.00885086,true,Dimer,cg,lbfgs,-7384.048856657056,-2.153793342944482,234,singlets,GOOD,14.824170788387462
397,185,1529.244,-6329.981325,0.00671482,true,Dimer,cg,lbfgs,-6327.87669784765,-2.1046271523500764,235,singlets,GOOD,23.367293365982363
338,155,1416.042,-10385.010295,0.00653464,true,Dimer,cg,lbfgs,-10383.549713418772,-1.4605815812283254,236,singlets,GOOD,1.018733456271484
467,213,1937.962,-9446.093349,0.00679063,true,Dimer,cg,lbfgs,-9445.053096239146,-1.0402527608548553,237,singlets,GOOD,0.8381906386550965
474,215,1934.661,-11349.258666,0.00973477,true,Dimer,cg,lbfgs,-11346.652340447756,-2.606325552244016,238,singlets,GOOD,0.8831626541660716
429,194,2240.625,-6298.527832,0.00991658,true,Dimer,cg,lbfgs,-6296.419827167876,-2.1080048321236973,239,singlets,GOOD,0.6480211571825251
107,40,381.766,-4187.261398,0.00766827,true,Dimer,cg,lbfgs,-4180.622038260157,-6.639359739842803,240,singlets,GOOD,1.0100833618727207
251,108,890.543,-6160.136884,0.00621519,true,Dimer,cg,lbfgs,-6156.673488732256,-3.4633952677431807,241,singlets,GOOD,1.2767066601178556
249,99,877.942,-3162.89222,0.00741473,true,Dimer,cg,lbfgs,-3160.928117622285,-1.964102377715335,242,singlets,GOOD,0.973933718345951
924,427,3641.733,-8389.900232,0.00800844,true,Dimer,cg,lbfgs,-8387.783096242503,-2.117135757496726,243,singlets,GOOD,1.7714568616193578
510,230,2034.944,-7390.000899,0.00932535,true,Dimer,cg,lbfgs,-7386.59447343442,-3.4064255655794113,244,singlets,GOOD,8.77395231113514
159,63,595.808,-7302.068244,0.00643633,true,Dimer,cg,lbfgs,-7301.156872843752,-0.9113711562476965,245,singlets,GOOD,0.7368356294367019
154,65,608.345,-6330.846486,0.00873323,true,Dimer,cg,lbfgs,-6328.586527911123,-2.2599580888772834,246,singlets,GOOD,0.22629660416130826
558,263,2146.038,-7331.152646,0.00990737,true,Dimer,cg,lbfgs,-7328.986477008943,-2.166168991056111,247,singlets,GOOD,13.089772727523444
765,336,3188.213,-10384.478914,0.00927548,true,Dimer,cg,lbfgs,-10381.822876588725,-2.6560374112741556,248,singlets,GOOD,4.322803206106038
1162,560,6285.119,-10382.482484,0.00801061,true,Dimer,cg,lbfgs,-10379.613993173874,-2.868490826125708,249,singlets,GOOD,1.1657592292862182
692,323,2790.141,-7386.240586,0.00986657,true,Dimer,cg,lbfgs,-7384.295435169522,-1.9451508304782692,250,singlets,GOOD,5.9010798406696106
164,67,628.346,-6333.083323,0.0097516,true,Dimer,cg,lbfgs,-6332.305455558487,-0.7778674415130808,251,singlets,GOOD,0.22262117069729712
717,338,2976.64,-10384.755774,0.00954675,true,Dimer,cg,lbfgs,-10382.783082260492,-1.9726917395073542,252,singlets,GOOD,10.824692042835371
172,71,621.736,-5276.792756,0.00935582,true,Dimer,cg,lbfgs,-5275.523337080727,-1.269418919272539,253,singlets,GOOD,0.31785042316483014
441,207,2440.121,-8444.564589,0.00794928,true,Dimer,cg,lbfgs,-8441.761622098424,-2.802966901575928,254,singlets,GOOD,1.0653027391886456
418,189,1618.011,-7302.082875,0.0063674,true,Dimer,cg,lbfgs,-7301.944979601522,-0.13789539847766719,255,singlets,GOOD,0.8977391256996712
694,230,2905.615,-6331.168941,0.00636921,true,Dimer,cg,lbfgs,-6330.469882651803,-0.6990583481965587,256,singlets,GOOD,15.255261292611317
130,53,512.448,-6330.846394,0.00959923,true,Dimer,cg,lbfgs,-6328.621295270109,-2.225098729891215,257,singlets,GOOD,0.22695277788004858
739,350,2860.101,-7331.268088,0.00809075,true,Dimer,cg,lbfgs,-7328.24672619521,-3.0213618047901036,258,singlets,GOOD,40.00800457303084
298,129,1137.67,-6298.636888,0.00798018,true,Dimer,cg,lbfgs,-6296.647518321766,-1.9893696782337429,259,singlets,GOOD,0.5817861036976306
435,197,1679.551,-6276.257562,0.00855453,true,Dimer,cg,lbfgs,-6274.8176907855795,-1.4398712144202364,260,singlets,GOOD,7.170497622642008
1049,500,4380.858,-9446.393689,0.00736197,true,Dimer,cg,lbfgs,-9444.825391680819,-1.5682973191815108,261,singlets,GOOD,32.520157707998735
1469,496,5681.571,-9332.384943,0.00864776,true,Dimer,cg,lbfgs,-9328.61136698906,-3.7735760109389958,262,singlets,GOOD,20.724312739357423
,,,,,false,Dimer,,,,,263,singlets,Error,
303,140,1113.668,-6276.87423,0.00725368,true,Dimer,cg,lbfgs,-6275.812161462553,-1.0620685374469758,264,singlets,GOOD,0.533999126668344
