mol_id,spin,method,success,pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,dimer_rot,dimer_trans,init_energy,barrier,termination_status,rmsd_init_saddle
116,doublets,OTGP,false,,,,,,,,,,,
117,doublets,OTGP,true,22,13,98.295,-4205.656614,0.00374222,lbfgs,lbfgs,-4202.772136137868,-2.8844778621323712,GOOD,0.26673281014526695
118,doublets,OTGP,false,,,,,,,,,,,
119,doublets,OTGP,false,,,,,,,,,,,
120,doublets,OTGP,false,,,,,,,,,,,
121,doublets,OTGP,false,,,,,,,,,,,
122,doublets,OTGP,false,,,,,,,,,,,
123,doublets,OTGP,false,,,,,,,,,,,
124,doublets,OTGP,false,,,,,,,,,,,
125,doublets,OTGP,false,,,,,,,,,,,
126,doublets,OTGP,true,36,26,661.008,-7287.548472,0.00209796,lbfgs,lbfgs,-7284.624638537484,-2.923833462516086,GOOD,12.53719524739544
127,doublets,OTGP,false,,,,,,,,,,,
128,doublets,OTGP,false,,,,,,,,,,,
129,doublets,OTGP,false,,,,,,,,,,,
130,doublets,OTGP,false,,,,,,,,,,,
131,doublets,OTGP,false,,,,,,,,,,,
132,doublets,OTGP,false,,,,,,,,,,,
133,doublets,OTGP,true,24,16,457.324,-9314.829516,0.00195602,lbfgs,lbfgs,-9314.290508862732,-0.5390071372676175,GOOD,0.14991544773013915
134,doublets,OTGP,false,,,,,,,,,,,
135,doublets,OTGP,false,,,,,,,,,,,
136,doublets,OTGP,false,,,,,,,,,,,
137,doublets,OTGP,false,,,,,,,,,,,
138,doublets,OTGP,false,,,,,,,,,,,
139,doublets,OTGP,false,,,,,,,,,,,
140,doublets,OTGP,false,,,,,,,,,,,
141,doublets,OTGP,false,,,,,,,,,,,
142,doublets,OTGP,false,,,,,,,,,,,
143,doublets,OTGP,false,,,,,,,,,,,
144,doublets,OTGP,false,,,,,,,,,,,
145,doublets,OTGP,false,,,,,,,,,,,
146,doublets,OTGP,false,,,,,,,,,,,
147,doublets,OTGP,false,,,,,,,,,,,
148,doublets,OTGP,false,,,,,,,,,,,
149,doublets,OTGP,false,,,,,,,,,,,
150,doublets,OTGP,false,,,,,,,,,,,
151,doublets,OTGP,false,,,,,,,,,,,
152,doublets,OTGP,false,,,,,,,,,,,
153,doublets,OTGP,false,,,,,,,,,,,
154,doublets,OTGP,false,,,,,,,,,,,
155,doublets,OTGP,false,,,,,,,,,,,
156,doublets,OTGP,false,,,,,,,,,,,
157,doublets,OTGP,false,,,,,,,,,,,
158,doublets,OTGP,false,,,,,,,,,,,
159,doublets,OTGP,false,,,,,,,,,,,
160,doublets,OTGP,false,,,,,,,,,,,
161,doublets,OTGP,false,,,,,,,,,,,
162,doublets,OTGP,false,,,,,,,,,,,
163,doublets,OTGP,false,,,,,,,,,,,
164,doublets,OTGP,false,,,,,,,,,,,
165,doublets,OTGP,false,,,,,,,,,,,
166,doublets,OTGP,false,,,,,,,,,,,
167,doublets,OTGP,false,,,,,,,,,,,
168,doublets,OTGP,false,,,,,,,,,,,
169,doublets,OTGP,false,,,,,,,,,,,
170,doublets,OTGP,false,,,,,,,,,,,
171,doublets,OTGP,false,,,,,,,,,,,
172,doublets,OTGP,false,,,,,,,,,,,
173,doublets,OTGP,false,,,,,,,,,,,
174,doublets,OTGP,false,,,,,,,,,,,
175,doublets,OTGP,false,,,,,,,,,,,
176,doublets,OTGP,false,,,,,,,,,,,
177,doublets,OTGP,false,,,,,,,,,,,
178,doublets,OTGP,false,,,,,,,,,,,
179,doublets,OTGP,false,,,,,,,,,,,
180,doublets,OTGP,true,24,16,474.974,-9315.10015,0.0022173,lbfgs,lbfgs,-9314.616152248404,-0.48399775159668934,GOOD,0.17928295961489693
181,doublets,OTGP,false,,,,,,,,,,,
182,doublets,OTGP,false,,,,,,,,,,,
183,doublets,OTGP,false,,,,,,,,,,,
184,doublets,OTGP,false,,,,,,,,,,,
185,doublets,OTGP,false,,,,,,,,,,,
186,doublets,OTGP,false,,,,,,,,,,,
187,doublets,OTGP,false,,,,,,,,,,,
188,doublets,OTGP,false,,,,,,,,,,,
189,doublets,OTGP,false,,,,,,,,,,,
190,doublets,OTGP,false,,,,,,,,,,,
191,doublets,OTGP,false,,,,,,,,,,,
192,doublets,OTGP,false,,,,,,,,,,,
193,doublets,OTGP,false,,,,,,,,,,,
194,doublets,OTGP,false,,,,,,,,,,,
195,doublets,OTGP,false,,,,,,,,,,,
196,doublets,OTGP,false,,,,,,,,,,,
197,doublets,OTGP,false,,,,,,,,,,,
198,doublets,OTGP,false,,,,,,,,,,,
199,doublets,OTGP,false,,,,,,,,,,,
200,doublets,OTGP,false,,,,,,,,,,,
201,doublets,OTGP,false,,,,,,,,,,,
202,doublets,OTGP,false,,,,,,,,,,,
203,doublets,OTGP,false,,,,,,,,,,,
204,doublets,OTGP,false,,,,,,,,,,,
205,doublets,OTGP,false,,,,,,,,,,,
206,doublets,OTGP,false,,,,,,,,,,,
207,doublets,OTGP,false,,,,,,,,,,,
208,doublets,OTGP,false,,,,,,,,,,,
209,doublets,OTGP,false,,,,,,,,,,,
210,doublets,OTGP,false,,,,,,,,,,,
211,doublets,OTGP,false,,,,,,,,,,,
212,doublets,OTGP,false,,,,,,,,,,,
213,doublets,OTGP,false,,,,,,,,,,,
214,doublets,OTGP,false,,,,,,,,,,,
215,doublets,OTGP,false,,,,,,,,,,,
216,doublets,OTGP,false,,,,,,,,,,,
217,doublets,OTGP,false,,,,,,,,,,,
218,doublets,OTGP,false,,,,,,,,,,,
219,doublets,OTGP,false,,,,,,,,,,,
220,doublets,OTGP,false,,,,,,,,,,,
221,doublets,OTGP,false,,,,,,,,,,,
222,doublets,OTGP,false,,,,,,,,,,,
223,doublets,OTGP,false,,,,,,,,,,,
224,doublets,OTGP,false,,,,,,,,,,,
225,doublets,OTGP,false,,,,,,,,,,,
226,doublets,OTGP,false,,,,,,,,,,,
227,doublets,OTGP,false,,,,,,,,,,,
228,doublets,OTGP,false,,,,,,,,,,,
229,doublets,OTGP,false,,,,,,,,,,,
230,doublets,OTGP,false,,,,,,,,,,,
231,doublets,OTGP,true,27,20,913.354,-7407.365257,0.00218971,lbfgs,lbfgs,-7405.889159257463,-1.476097742537604,GOOD,0.7115388793011271
232,doublets,OTGP,false,,,,,,,,,,,
233,doublets,OTGP,false,,,,,,,,,,,
234,doublets,OTGP,false,,,,,,,,,,,
000,singlets,OTGP,false,,,,,,,,,,,
001,singlets,OTGP,false,,,,,,,,,,,
002,singlets,OTGP,false,,,,,,,,,,,
003,singlets,OTGP,false,,,,,,,,,,,
004,singlets,OTGP,false,,,,,,,,,,,
005,singlets,OTGP,false,,,,,,,,,,,
006,singlets,OTGP,false,,,,,,,,,,,
007,singlets,OTGP,false,,,,,,,,,,,
008,singlets,OTGP,false,,,,,,,,,,,
009,singlets,OTGP,false,,,,,,,,,,,
010,singlets,OTGP,false,,,,,,,,,,,
011,singlets,OTGP,false,,,,,,,,,,,
012,singlets,OTGP,false,,,,,,,,,,,
013,singlets,OTGP,false,,,,,,,,,,,
014,singlets,OTGP,false,,,,,,,,,,,
015,singlets,OTGP,false,,,,,,,,,,,
016,singlets,OTGP,false,,,,,,,,,,,
017,singlets,OTGP,false,,,,,,,,,,,
018,singlets,OTGP,false,,,,,,,,,,,
019,singlets,OTGP,false,,,,,,,,,,,
020,singlets,OTGP,false,,,,,,,,,,,
021,singlets,OTGP,false,,,,,,,,,,,
022,singlets,OTGP,false,,,,,,,,,,,
023,singlets,OTGP,false,,,,,,,,,,,
024,singlets,OTGP,false,,,,,,,,,,,
025,singlets,OTGP,false,,,,,,,,,,,
026,singlets,OTGP,false,,,,,,,,,,,
027,singlets,OTGP,false,,,,,,,,,,,
028,singlets,OTGP,false,,,,,,,,,,,
029,singlets,OTGP,false,,,,,,,,,,,
030,singlets,OTGP,false,,,,,,,,,,,
031,singlets,OTGP,false,,,,,,,,,,,
032,singlets,OTGP,false,,,,,,,,,,,
033,singlets,OTGP,false,,,,,,,,,,,
034,singlets,OTGP,false,,,,,,,,,,,
035,singlets,OTGP,false,,,,,,,,,,,
036,singlets,OTGP,false,,,,,,,,,,,
037,singlets,OTGP,false,,,,,,,,,,,
038,singlets,OTGP,false,,,,,,,,,,,
039,singlets,OTGP,true,37,27,501.558,-5274.36914,0.0031627,lbfgs,lbfgs,-5272.5744218833715,-1.7947181166282462,GOOD,0.5396048985415632
040,singlets,OTGP,false,,,,,,,,,,,
041,singlets,OTGP,false,,,,,,,,,,,
042,singlets,OTGP,false,,,,,,,,,,,
043,singlets,OTGP,false,,,,,,,,,,,
044,singlets,OTGP,false,,,,,,,,,,,
045,singlets,OTGP,true,30,22,99.501,-5189.497377,0.00254604,lbfgs,lbfgs,-5187.196065840233,-2.3013111597665556,GOOD,0.7340318236692214
046,singlets,OTGP,false,,,,,,,,,,,
047,singlets,OTGP,false,,,,,,,,,,,
048,singlets,OTGP,false,,,,,,,,,,,
049,singlets,OTGP,false,,,,,,,,,,,
050,singlets,OTGP,false,,,,,,,,,,,
051,singlets,OTGP,false,,,,,,,,,,,
052,singlets,OTGP,false,,,,,,,,,,,
053,singlets,OTGP,false,,,,,,,,,,,
054,singlets,OTGP,false,,,,,,,,,,,
055,singlets,OTGP,false,,,,,,,,,,,
056,singlets,OTGP,false,,,,,,,,,,,
057,singlets,OTGP,false,,,,,,,,,,,
058,singlets,OTGP,false,,,,,,,,,,,
059,singlets,OTGP,true,29,21,102.482,-5189.497414,0.00202138,lbfgs,lbfgs,-5187.194430810085,-2.3029831899157216,GOOD,0.6599673365009668
060,singlets,OTGP,true,29,19,183.939,-6214.675524,0.00209228,lbfgs,lbfgs,-6208.884261775196,-5.791262224804086,GOOD,41.632638941094385
061,singlets,OTGP,false,,,,,,,,,,,
062,singlets,OTGP,false,,,,,,,,,,,
063,singlets,OTGP,false,,,,,,,,,,,
064,singlets,OTGP,false,,,,,,,,,,,
065,singlets,OTGP,false,,,,,,,,,,,
066,singlets,OTGP,false,,,,,,,,,,,
067,singlets,OTGP,false,,,,,,,,,,,
068,singlets,OTGP,false,,,,,,,,,,,
069,singlets,OTGP,false,,,,,,,,,,,
070,singlets,OTGP,false,,,,,,,,,,,
071,singlets,OTGP,false,,,,,,,,,,,
072,singlets,OTGP,false,,,,,,,,,,,
073,singlets,OTGP,false,,,,,,,,,,,
074,singlets,OTGP,false,,,,,,,,,,,
075,singlets,OTGP,false,,,,,,,,,,,
076,singlets,OTGP,false,,,,,,,,,,,
077,singlets,OTGP,false,,,,,,,,,,,
078,singlets,OTGP,false,,,,,,,,,,,
079,singlets,OTGP,true,20,13,75.499,-6213.358982,0.00343329,lbfgs,lbfgs,-6210.951675829982,-2.407306170017364,GOOD,0.19077568145825693
080,singlets,OTGP,false,,,,,,,,,,,
081,singlets,OTGP,false,,,,,,,,,,,
082,singlets,OTGP,false,,,,,,,,,,,
083,singlets,OTGP,false,,,,,,,,,,,
084,singlets,OTGP,false,,,,,,,,,,,
085,singlets,OTGP,false,,,,,,,,,,,
086,singlets,OTGP,false,,,,,,,,,,,
087,singlets,OTGP,false,,,,,,,,,,,
088,singlets,OTGP,false,,,,,,,,,,,
089,singlets,OTGP,false,,,,,,,,,,,
090,singlets,OTGP,false,,,,,,,,,,,
091,singlets,OTGP,false,,,,,,,,,,,
092,singlets,OTGP,false,,,,,,,,,,,
093,singlets,OTGP,false,,,,,,,,,,,
094,singlets,OTGP,false,,,,,,,,,,,
095,singlets,OTGP,false,,,,,,,,,,,
096,singlets,OTGP,false,,,,,,,,,,,
097,singlets,OTGP,false,,,,,,,,,,,
098,singlets,OTGP,false,,,,,,,,,,,
099,singlets,OTGP,false,,,,,,,,,,,
100,singlets,OTGP,false,,,,,,,,,,,
101,singlets,OTGP,false,,,,,,,,,,,
102,singlets,OTGP,false,,,,,,,,,,,
103,singlets,OTGP,false,,,,,,,,,,,
104,singlets,OTGP,false,,,,,,,,,,,
105,singlets,OTGP,false,,,,,,,,,,,
106,singlets,OTGP,false,,,,,,,,,,,
107,singlets,OTGP,false,,,,,,,,,,,
108,singlets,OTGP,false,,,,,,,,,,,
109,singlets,OTGP,false,,,,,,,,,,,
110,singlets,OTGP,false,,,,,,,,,,,
111,singlets,OTGP,false,,,,,,,,,,,
112,singlets,OTGP,false,,,,,,,,,,,
113,singlets,OTGP,false,,,,,,,,,,,
114,singlets,OTGP,false,,,,,,,,,,,
115,singlets,OTGP,false,,,,,,,,,,,
116,singlets,OTGP,false,,,,,,,,,,,
117,singlets,OTGP,false,,,,,,,,,,,
118,singlets,OTGP,false,,,,,,,,,,,
119,singlets,OTGP,false,,,,,,,,,,,
120,singlets,OTGP,false,,,,,,,,,,,
121,singlets,OTGP,false,,,,,,,,,,,
122,singlets,OTGP,false,,,,,,,,,,,
123,singlets,OTGP,false,,,,,,,,,,,
124,singlets,OTGP,false,,,,,,,,,,,
125,singlets,OTGP,false,,,,,,,,,,,
126,singlets,OTGP,false,,,,,,,,,,,
127,singlets,OTGP,false,,,,,,,,,,,
128,singlets,OTGP,false,,,,,,,,,,,
129,singlets,OTGP,false,,,,,,,,,,,
130,singlets,OTGP,false,,,,,,,,,,,
131,singlets,OTGP,false,,,,,,,,,,,
132,singlets,OTGP,false,,,,,,,,,,,
133,singlets,OTGP,false,,,,,,,,,,,
134,singlets,OTGP,false,,,,,,,,,,,
135,singlets,OTGP,false,,,,,,,,,,,
136,singlets,OTGP,true,38,28,477.342,-6245.305124,0.00195519,lbfgs,lbfgs,-6244.276679613956,-1.0284443860446117,GOOD,0.7986907497494632
137,singlets,OTGP,false,,,,,,,,,,,
138,singlets,OTGP,false,,,,,,,,,,,
139,singlets,OTGP,false,,,,,,,,,,,
140,singlets,OTGP,false,,,,,,,,,,,
141,singlets,OTGP,false,,,,,,,,,,,
142,singlets,OTGP,false,,,,,,,,,,,
143,singlets,OTGP,false,,,,,,,,,,,
144,singlets,OTGP,false,,,,,,,,,,,
145,singlets,OTGP,false,,,,,,,,,,,
146,singlets,OTGP,false,,,,,,,,,,,
147,singlets,OTGP,false,,,,,,,,,,,
148,singlets,OTGP,false,,,,,,,,,,,
149,singlets,OTGP,false,,,,,,,,,,,
150,singlets,OTGP,false,,,,,,,,,,,
151,singlets,OTGP,false,,,,,,,,,,,
152,singlets,OTGP,false,,,,,,,,,,,
153,singlets,OTGP,false,,,,,,,,,,,
154,singlets,OTGP,true,36,28,2336.503,-8443.851156,0.00267164,lbfgs,lbfgs,-8441.8764102347,-1.9747457653011224,GOOD,18.248593970297662
155,singlets,OTGP,false,,,,,,,,,,,
156,singlets,OTGP,false,,,,,,,,,,,
157,singlets,OTGP,false,,,,,,,,,,,
158,singlets,OTGP,false,,,,,,,,,,,
159,singlets,OTGP,false,,,,,,,,,,,
160,singlets,OTGP,false,,,,,,,,,,,
161,singlets,OTGP,false,,,,,,,,,,,
162,singlets,OTGP,false,,,,,,,,,,,
163,singlets,OTGP,false,,,,,,,,,,,
164,singlets,OTGP,false,,,,,,,,,,,
165,singlets,OTGP,false,,,,,,,,,,,
166,singlets,OTGP,false,,,,,,,,,,,
167,singlets,OTGP,false,,,,,,,,,,,
168,singlets,OTGP,false,,,,,,,,,,,
169,singlets,OTGP,false,,,,,,,,,,,
170,singlets,OTGP,false,,,,,,,,,,,
171,singlets,OTGP,false,,,,,,,,,,,
172,singlets,OTGP,false,,,,,,,,,,,
173,singlets,OTGP,false,,,,,,,,,,,
174,singlets,OTGP,false,,,,,,,,,,,
175,singlets,OTGP,false,,,,,,,,,,,
176,singlets,OTGP,true,64,54,1576.453,-5244.906871,0.00139964,lbfgs,lbfgs,-5241.437469752434,-3.469401247566566,GOOD,22.900291631488226
177,singlets,OTGP,false,,,,,,,,,,,
178,singlets,OTGP,false,,,,,,,,,,,
179,singlets,OTGP,true,33,23,118.471,-5189.497388,0.00192696,lbfgs,lbfgs,-5186.08404849266,-3.413339507339515,GOOD,1.4667633500900625
180,singlets,OTGP,false,,,,,,,,,,,
181,singlets,OTGP,false,,,,,,,,,,,
182,singlets,OTGP,false,,,,,,,,,,,
183,singlets,OTGP,false,,,,,,,,,,,
184,singlets,OTGP,false,,,,,,,,,,,
185,singlets,OTGP,false,,,,,,,,,,,
186,singlets,OTGP,false,,,,,,,,,,,
187,singlets,OTGP,false,,,,,,,,,,,
188,singlets,OTGP,false,,,,,,,,,,,
189,singlets,OTGP,false,,,,,,,,,,,
190,singlets,OTGP,false,,,,,,,,,,,
191,singlets,OTGP,false,,,,,,,,,,,
192,singlets,OTGP,false,,,,,,,,,,,
193,singlets,OTGP,false,,,,,,,,,,,
194,singlets,OTGP,true,42,34,133.45,-5156.932993,0.00353313,lbfgs,lbfgs,-5152.577826762058,-4.355166237942285,GOOD,3.397237889308703
195,singlets,OTGP,false,,,,,,,,,,,
196,singlets,OTGP,false,,,,,,,,,,,
197,singlets,OTGP,false,,,,,,,,,,,
198,singlets,OTGP,false,,,,,,,,,,,
199,singlets,OTGP,false,,,,,,,,,,,
200,singlets,OTGP,false,,,,,,,,,,,
201,singlets,OTGP,false,,,,,,,,,,,
202,singlets,OTGP,false,,,,,,,,,,,
203,singlets,OTGP,false,,,,,,,,,,,
204,singlets,OTGP,false,,,,,,,,,,,
205,singlets,OTGP,true,21,11,207.07,-7270.947772,0.00364181,lbfgs,lbfgs,-7268.436925491663,-2.510846508337636,GOOD,0.21019997416954958
206,singlets,OTGP,false,,,,,,,,,,,
207,singlets,OTGP,false,,,,,,,,,,,
208,singlets,OTGP,false,,,,,,,,,,,
209,singlets,OTGP,false,,,,,,,,,,,
210,singlets,OTGP,false,,,,,,,,,,,
211,singlets,OTGP,false,,,,,,,,,,,
212,singlets,OTGP,false,,,,,,,,,,,
213,singlets,OTGP,false,,,,,,,,,,,
214,singlets,OTGP,false,,,,,,,,,,,
215,singlets,OTGP,false,,,,,,,,,,,
216,singlets,OTGP,false,,,,,,,,,,,
217,singlets,OTGP,false,,,,,,,,,,,
218,singlets,OTGP,false,,,,,,,,,,,
219,singlets,OTGP,false,,,,,,,,,,,
220,singlets,OTGP,false,,,,,,,,,,,
221,singlets,OTGP,false,,,,,,,,,,,
222,singlets,OTGP,false,,,,,,,,,,,
223,singlets,OTGP,false,,,,,,,,,,,
224,singlets,OTGP,false,,,,,,,,,,,
225,singlets,OTGP,false,,,,,,,,,,,
226,singlets,OTGP,false,,,,,,,,,,,
227,singlets,OTGP,false,,,,,,,,,,,
228,singlets,OTGP,true,29,21,193.117,-5243.585103,0.0016872,lbfgs,lbfgs,-5238.95644721125,-4.628655788750621,GOOD,0.7519489066871873
229,singlets,OTGP,false,,,,,,,,,,,
230,singlets,OTGP,false,,,,,,,,,,,
231,singlets,OTGP,false,,,,,,,,,,,
232,singlets,OTGP,false,,,,,,,,,,,
233,singlets,OTGP,false,,,,,,,,,,,
234,singlets,OTGP,false,,,,,,,,,,,
235,singlets,OTGP,false,,,,,,,,,,,
236,singlets,OTGP,false,,,,,,,,,,,
237,singlets,OTGP,false,,,,,,,,,,,
238,singlets,OTGP,false,,,,,,,,,,,
239,singlets,OTGP,false,,,,,,,,,,,
240,singlets,OTGP,true,34,24,142.69,-4186.243183,0.00401518,lbfgs,lbfgs,-4180.622073268441,-5.6211097315581355,GOOD,16.272754471352567
241,singlets,OTGP,false,,,,,,,,,,,
242,singlets,OTGP,false,,,,,,,,,,,
243,singlets,OTGP,false,,,,,,,,,,,
244,singlets,OTGP,false,,,,,,,,,,,
245,singlets,OTGP,false,,,,,,,,,,,
246,singlets,OTGP,false,,,,,,,,,,,
247,singlets,OTGP,false,,,,,,,,,,,
248,singlets,OTGP,false,,,,,,,,,,,
249,singlets,OTGP,false,,,,,,,,,,,
250,singlets,OTGP,false,,,,,,,,,,,
251,singlets,OTGP,false,,,,,,,,,,,
252,singlets,OTGP,false,,,,,,,,,,,
253,singlets,OTGP,false,,,,,,,,,,,
254,singlets,OTGP,false,,,,,,,,,,,
255,singlets,OTGP,false,,,,,,,,,,,
256,singlets,OTGP,false,,,,,,,,,,,
257,singlets,OTGP,false,,,,,,,,,,,
258,singlets,OTGP,false,,,,,,,,,,,
259,singlets,OTGP,true,28,18,413.626,-6298.636942,0.00320814,lbfgs,lbfgs,-6296.647571374526,-1.9893706254742938,GOOD,0.5811588277664094
260,singlets,OTGP,false,,,,,,,,,,,
261,singlets,OTGP,false,,,,,,,,,,,
262,singlets,OTGP,false,,,,,,,,,,,
263,singlets,OTGP,true,39,30,1475.091,-6331.599138,0.00300834,lbfgs,lbfgs,-6330.184273243534,-1.4148647564652492,GOOD,1.46527084852684
264,singlets,OTGP,false,,,,,,,,,,,
